id,name,region,rating,category,address,description,price,popularity
1,八达岭长城,延庆,0.82,5A景区,北京市延庆县军都山关沟古道北口216省道附近,不到长城非好汉,40.0,16382
2,圆明园,海淀,0.76,4A景区,北京市海淀区清华西路28号,追忆昔日万园之园,46.0,6967
3,颐和园,海淀,0.82,5A景区,北京市海淀区新建宫门路19号,保存完整的一座皇家行宫御苑,39.8,10820
4,恭王府,西城,0.74,5A景区,北京市西城区什刹海前海西街17号,一起去看看和珅家,40.0,5182
5,天坛公园,东城,0.8,5A景区,北京市东城区天坛内东里7号,探寻古代皇帝祭天仪式的奥秘,20.0,4296
6,故宫,东城,1.0,5A景区,北京市东城区景山前街4号,世界五大宫之首，穿越与您近在咫尺,60.0,24711
7,慕田峪长城,怀柔,0.7,5A景区,北京市怀柔区慕田峪村,电影《非诚勿扰》取景地,40.0,4742
10,明十三陵,昌平,0.72,5A景区,北京市昌平区十三陵特区,气势磅礴的陵寝建筑群,43.7,2640
11,北京动物园,西城,0.72,4A景区,北京市西城区西直门外大街137号,百余种动物，让你离自然更近,175.0,3522
12,天安门广场,东城,1.0,\N,北京市东城区天安门,我爱北京天安门，天安门上太阳升,27.0,4353
16,清华大学,海淀,0.76,\N,北京市海淀区双清路30号,绿草青青，树木成荫，湖光山色，景色优雅,1.1,1032
17,景山公园,西城,0.74,4A景区,北京市西城区景山西街44号,俯看故宫绝佳位置,8.0,948
18,毛主席纪念堂,东城,0.76,\N,北京市东城区天安门广场人民英雄纪念碑南面,一代伟人的传世一生,58.0,1162
19,喇叭沟原始森林公园,怀柔,0.7,\N,北京市怀柔区满族乡孙栅子,浩瀚森林、险峻百丈悬崖和神秘的大峡谷,36.0,738
21,北海公园,西城,0.76,4A景区,北京市西城区文津街1号（故宫北）,让我们荡起双桨，小船儿推开波浪,1.1,562
23,什刹海,西城,0.78,4A景区,北京市西城区羊房胡同,老北京的温柔乡，北京签到地,10.0,1006
24,北京天文馆,海淀,0.72,3A景区,北京市海淀区西直门外大街138号,陪你去看流星雨,88.0,364
26,居庸关长城,昌平,0.72,4A景区,北京市昌平区南口镇居庸关长城,千年军事关口，地形险要，历史独特,37.0,426
27,香山公园,海淀,0.72,4A景区,北京市海淀区买卖街40号,深秋时节，红叶漫山遍野，灿烂夺目,14.0,606
28,中国国家博物馆,东城,0.7,\N,北京东城区东长安街16号天安门广场东侧,历史与艺术并重，凝聚中国历史文化之精华,58.0,242
30,黄花城水长城,怀柔,0.7,3A景区,北京市怀柔区九渡河镇西水峪,蛟龙千寻戏碧水，探古觅幽有奇观,49.9,742
31,雍和宫,东城,0.76,\N,北京市雍和宫大街12号,佛光普照，巍峨壮观雍和宫,0.5,250
33,中央电视塔,海淀,0.72,4A景区,北京市海淀区西三环中路11号,登高望远，俯瞰北京城,79.0,1102
35,北京海洋馆,西城,0.7,4A景区,北京市海淀区高粱桥斜街乙18号,奇幻海洋之旅，在帝都感受大海的魅力,175.0,1428
36,北京欢乐谷,朝阳,0.72,4A景区,北京市朝阳区东四环小武基北路,七大主题园区带你畅享北京欢乐谷,39.9,4813
39,北京自然博物馆,东城,0.7,\N,北京市东城区（原崇文区）天桥南大街126号,打开通往自然的大门，去探索大自然的奥秘,9.8,452
40,天安门城楼,东城,0.72,\N,北京市东城区天安门院内西侧,杰出的建筑艺术和特殊的政治地位为世人瞩目,59.0,66
41,中国国家大剧院,西城,0.7,\N,北京市西城区西长安街2号,鸟蛋！北京签到地,27.0,154
42,北京大学,海淀,0.78,\N,北京市海淀区颐和园路5号,蕴含深厚人文气息，近代高等教育的奠基者,1.9,118
43,北京大观园,西城,0.76,3A景区,北京市西城区（原宣武区）南菜园街12号,红楼梦中走下来的建筑,34.9,388
46,北京野生动物园,大兴,0.7,4A景区,北京市大兴区一零六国道,北京郊区的一座大型自然生态动物园,122.0,6738
47,南锣鼓巷,东城,0.76,3A景区,北京市东城区南锣鼓巷117号,也位列规划中的25片旧城保护区之中。南锣鼓巷南北走向，北起鼓楼东大街，,0.3,92
48,奥林匹克公园,朝阳,0.74,5A景区,北京市朝阳区天辰东路11号,感受2008北京奥运的辉煌,30.0,96
49,世界公园,丰台,0.7,4A景区,北京市丰台区花乡丰葆路158号,40个国家的109处著名古迹名胜微缩景点,39.9,1392
52,孔庙,东城,0.72,4A景区,北京市东城区国子监街13号,北京孔庙位于安定门内国子监街，是元、明、清三代祭祀孔子的地方。孔子曾被尊为“大成至圣先师”，故又称先师庙。现在是首都博物,0.6,66
53,蟒山国家森林公园,昌平,0.7,3A景区,北京市昌平区蟒山路2号,休闲度假好去处,29.8,110
54,古北口长城,密云,0.7,3A景区,北京市密云县古北口镇,长城体系、历史古迹、人文景观、军镇文化,100.0,296
55,前门大街,东城,0.8,3A景区,北京市东城区（原崇文区）前门,北京著名商业街,90.0,82
56,十渡风景区,房山,0.72,4A景区,北京市房山区十渡镇十渡村,远离城市喧嚣，感受自然之美,36.0,468
60,司马台长城,密云,0.76,4A景区,北京市密云县东北部的古北口镇境内,城墙依险峻山势而筑，以奇、特、险著称于世,140.0,258
123,中山公园,东城,0.72,4A景区,北京市东城区天安门广场中华路4号,带有纪念性的坛庙园林,0.5,6
126,国子监,东城,0.74,4A景区,北京市东城区安定门内国子监街13号,一所古代中央公办大学建筑,0.6,14
128,八达岭野生动物园,延庆,0.7,3A景区,北京市延庆县八达岭中心停车场对面,身临“野性天地”，感受“适者生存”,12.9,588
130,地坛公园,东城,0.72,\N,北京市安定门外大街东侧,悠久历史文化的皇家坛庙,0.5,12
132,老舍茶馆,西城,0.7,3A景区,北京市西城区前门西大街正阳市场三号楼老舍茶馆,汇聚京剧、曲艺、杂技、变脸等特色民族艺术,0.1,10
133,富国海底世界,朝阳,0.7,4A景区,北京市朝阳区三里屯工体南路工人体育场南门,利用高新技术让你与鱼类亲密接触,79.0,462
134,首都博物馆,西城,0.72,4A景区,北京市西城区复兴门外大街16号,古老与现代并存，文明与科技兼顾,78.0,18
136,朝阳公园,朝阳,0.72,4A景区,北京市朝阳区农展南路1号,在闹市中寻求一份安宁,30.0,44
139,北京乔波冰雪世界,顺义,0.7,\N,北京市顺义区顺安路路东6号,无论风雨雷电，四季滑雪不再是梦,160.0,12
140,王府井商业街,东城,0.76,\N,北京市东城区东长安街北侧,北京享有金街的美誉,29.9,97
145,世界花卉大观园,丰台,0.7,4A景区,北京市丰台区南四环中路235号,揽天下奇花异草，聚世界经典园林,35.0,270
146,烟袋斜街,西城,0.72,\N,北京市西城区烟袋斜街,北京同行业中的头号大烟袋了。 　,60.0,4
147,石景山游乐园,石景山,0.7,4A景区,北京市石景山区石景山路25号,四大主题乐园，开启你的冒险之旅,2.3,226
152,周口店北京猿人遗址,房山,0.7,4A景区,北京市房山区周口店大街1号,周口店遗址博物馆坐落在北京城西南房山区周口店龙骨山脚下，距北京市区约48公里。1921年至1927年，考古学家先后三次在,25.0,162
158,北京古代建筑博物馆,东城,0.7,\N,北京市东城区（原崇文区）先农坛内,北京旧城模型沙盘、隆福寺藻井为馆藏珍品,12.0,30
160,天门山,密云,0.7,\N,北京市密云县石城镇柳棵峪,观日出、看云海，赏地质奇观,25.0,4
165,潭柘寺,门头沟,0.7,4A景区,北京市门头沟区潭柘寺镇,殿堂整齐，庄严宏伟,0.4,44
182,玉渊潭公园,海淀,0.72,4A景区,北京市海淀区西三环中路10号,春赏樱花，冬滑冰雪，家门口的公园,1.3,4
183,北京生存岛基地,怀柔,0.7,3A景区,北京市怀柔县红螺东路6号,群山环抱、溪流淙淙，京郊独特的度假基地,105.0,28
187,八奇洞,门头沟,0.7,\N,北京市门头沟区潭柘寺镇平原村,冬暧夏凉，四季流水潺潺,48.0,20
188,银山塔林,昌平,0.7,4A景区,北京市昌平区兴寿镇西湖村下庄乡湖门村零一五县道,线条优美，明清时期“燕平八景”之一,1.0,43
190,青龙山,平谷,0.7,4A景区,北京市平谷区东高村镇,放眼望去，景色尽收眼底，让人心旷神怡,35.0,6
192,北京上方山国家森林公园,房山,0.7,3A景区,北京市房山区韩村河镇,南有苏杭，北有上方,27.0,40
193,北京艺术博物馆,海淀,0.7,\N,北京市海淀区 西三环北路万寿寺内,中国传统书法、绘画作为本馆主要馆藏项目,269.0,65
204,古崖居,延庆,0.7,3A景区,北京市延庆县张山营镇镇西5公里处,赏秋好去处,50.0,102
206,春晖园温泉度假村,顺义,0.7,\N,北京市顺义区高丽营镇于庄,北京高端温泉，近年价格越来越亲民,59.9,88
